Ticker,Name,R&D Exp:CY,CAPEX:CY,Tot Assets:CY,Debt/Assets:CY,Curr Ratio:CY,EBIT:CY,ROA:CY,AZS
 ,Investable Universe (1995),257200000,-101100000,2730000000,6850,2.64,256180000,-808.06,-216.11
,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,391347,-1188,483941,4.1075,2.1278,-732259,-90.6076,-218.4277
ISOL US Equity,1MAGE SOFTWARE INC, ,-4584,871455,43.5487,0.1533,-979184,-88.2838,-45.8482
SPA LN Equity,1SPATIAL PLC,0,-67000,38554000,11.8924,1.1106,1412000,3.0612,1.4065
AL2SI FP Equity,2CRSI SA, , ,73174000,14.2236,4.7588, , , 
DDD US Equity,3D SYSTEMS CORP,89466000,-27183000,990659968,38.9715,4.2654,-406004000,-29.7618,-4.1771
4GBL LN Equity,4GLOBAL PLC,0,-11954,6103595,4.9543,3.1516,344499,-3.6843,4.3494
74SW FP Equity,74SOFTWARE SA,60100000,-2427000,594593024,19.5088,1.8293,47571000,6.1474,3.7687
EGHT US Equity,8X8 INC,136216000,-16939000,755979008,63.1806,1.436,-27603000,-8.4607,-1.0998
ATEN US Equity,A10 NETWORKS INC,55229000,-10896000,389808992,4.3149,2.4473,38648000,10.5335,4.6054
AAT IM Equity,AA TECH SPA, , ,10314478,40.0785,1.1101,-292528,-2.461,0.9158
SPERR SS Equity,AB SPERRUNG,0,-55000,13780000,5.1742,1.1527,-8524000,-61.6474,-3.7236
ABXX CN Equity,ABAXX TECHNOLOGIES IN,11337165,0,48703128,0,4.6497,-31093830,-30.7178,25.8561
ABBY US Equity,ABBY INC, ,-7000,1388,0,12.3929,-20034,-136.4624, 
ABLD FP Equity,ABL DIAGNOSTICS,0, ,2379334,0.0592,131.3706,-91161,-1.8626, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , 
ACAST SS Equity,ACAST AB,179770000,-281000,1724264960,1.2729,2.2972,-258618000,-10.0183,3.0116
ACNV US Equity,ACCELERA INNOVATIONS INC,0,0,9639,10804.4717,0.0011,-1898212,-7681.8179, 
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL,919952,0,515751,709.7659,0.076,-1750623,-560.5322,-42.1839
