Ticker,Name,CAPEX:2024,CAPEX:2023,CAPEX:2022,CAPEX:2021,CAPEX:2020,CAPEX:2019,CAPEX:2018,CAPEX:2017,CAPEX:2016
 ,Investable Universe (2071),-136410000,-118000000,-108210000,-91530000,-76270000,-85220000,-91020000,-81630000,-79540000
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-543,-1188,-16759,-8428,-5419,-5657,-14954,-932,-656
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , , , 
SPA LN Equity,1SPATIAL PLC,-67000,-163000,-164000,-192000,-132000,-94000,-96000,-574000,-841000
AL2SI FP Equity,2CRSI SA, ,-2038000,-2645000,-4268000, , ,-2534000,-667000,-466000
DDD US Equity,3D SYSTEMS CORP,-16121000,-27183000,-20907000,-18791000,-13643000,-23985000,-40694000,-30881000,-16567000
4GBL LN Equity,4GLOBAL PLC,-11954,-22768,-23773,-4936,-1544,-9368, , , 
74SW FP Equity,74SOFTWARE SA,-11932000,-2427000,-2316000,-2825000,-7746000,-4550000,-4374000,-4194000,-10094000
EGHT US Equity,8X8 INC,-16939000,-14887000,-24507000,-35246000,-67407000,-34718000,-21664000,-14367000,-6989000
ATEN US Equity,A10 NETWORKS INC,-12268000,-10896000,-10799000,-5171000,-3564000,-4340000,-2797000,-5734000,-4872000
AAT IM Equity,AA TECH SPA, , , , , , , , , 
SPERR SS Equity,AB SPERRUNG,-58000,-55000,-1255000,-253000,-882000,-333000,0,0,-2100000
ABXX CN Equity,ABAXX TECHNOLOGIES IN,0,0,0,0,0,0,0,0,0
ABBY US Equity,ABBY INC, , , , , , , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , , , , , , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,-11221000,-281000,-55000,-104000,-1122000,-866000,-1789000, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , ,0
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , , , , , , 
AXE CN Equity,ACCELEWARE LTD,0,0,0,-32838,0,-68354,0,-18888,-8690
ACN US Equity,ACCENTURE PLC-CL A,-516508992,-528172000,-717998016,-580131968,-599132032,-599009024,-619187008,-515919008,-496566016
ACCS US Equity,ACCESS NEWSWIRE INC,-19000,-25000,-66000,-62000,-27000,-420000,-51000,-11000,-112244
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,-420000,-638000,-725000,-960000,-437000,-1945000,-1959000,-936000,-1948000
ACCON SS Equity,ACCONEER AB,-5133000,-2145000,-1441000,-10422653,-1694322,-142422,-960731,-772377, 
ACIW US Equity,ACI WORLDWIDE INC,-15402000,-8924000,-13103000,-20582000,-17804000,-23099000,-18265000,-25717000,-40812000
ACMR US Equity,ACM RESEARCH INC-CLASS A,-82463000,-61876000,-91094000,-9153000,-14955000,-971000,-1830000,-651000,-795000
ACFN US Equity,ACORN ENERGY INC,-48000,0,0,0,0,0,0,0,-33000
EOS FP Equity,ACTEOS,-242606,-929551,-161055,-66537,-928660,-909747,-963837,-882797,-520154
AOM LN Equity,ACTIVEOPS PLC,-179000,-90000,-96000,-68000,-52332,-315735,-273222, , 
MLACT FP Equity,ACTIVIUM GROUP, , , , , , , , , 
ACRM LN Equity,ACUITY RM GROUP PLC, ,0,0,0,0,0,0,0,0
ACVA US Equity,ACV AUCTIONS INC-A,-34241000,-28170000,-3211000,-2569000,-3503000,-3373000, , , 
ANODB SS Equity,ADDNODE GROUP AB,-10000000,-26000000,-14000000,-8000000,-8000000,-21000000,-15000000,-16140000,-16600000
