Ticker,Name,Curr Ratio:2024,Curr Ratio:2023,Curr Ratio:2022,Curr Ratio:2021,Curr Ratio:2020,Curr Ratio:2019,Curr Ratio:2018,Curr Ratio:2017,Curr Ratio:2016
 ,Investable Universe (2071),2.7,2.41,2.9,4.94,3.38,4.17,6.12,3.37,2.6
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,1.6121,2.1278,3.1347,5.3251,7.0462,1.2781,0.8973,0.303,0.3895
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , , , 
SPA LN Equity,1SPATIAL PLC,1.1106,1.1246,1.209,1.2376,1.1631,1.4531,0.7174,0.7985,1.4635
AL2SI FP Equity,2CRSI SA,4.7588,1.0871,1.3565,1.5471,1.7301, ,2.8859,1.2419,1.1121
DDD US Equity,3D SYSTEMS CORP,3.083,4.2654,5.4954,5.7959,2.0345,2.2899,2.4227,2.1167,3.32
4GBL LN Equity,4GLOBAL PLC,3.1516,3.3119,3.0508,2.3339,1.155,1.0591, , , 
74SW FP Equity,74SOFTWARE SA,1.3921,1.8293,1.5961,1.442,1.1238,0.9663,0.9507,0.9541,1.1304
EGHT US Equity,8X8 INC,1.436,1.1881,1.4391,2.2783,2.2456,5.3195,3.1743,4.5532,5.3521
ATEN US Equity,A10 NETWORKS INC,2.4867,2.4473,2.1733,2.4466,2.2481,2.2642,2.2075,2.1979,1.9395
AAT IM Equity,AA TECH SPA,1.2713,1.1101,1.6786, , , , , , 
SPERR SS Equity,AB SPERRUNG,1.2823,1.1527,2.2138,1.5288,1.8936,2.5181,2.9728,2.4362,1.865
ABXX CN Equity,ABAXX TECHNOLOGIES IN,3.2045,4.6497,3.7076,17.6248,4.6468,47.6378,82.7055,78.2893,9.332
ABBY US Equity,ABBY INC, , , , , , , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , , ,131.3706,60.9188,13.0476,24.4227,18.1488
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,2.1974,2.2972,2.7539,5.1607,2.4092,2.2914,4.6345, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , ,0.0011
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , , , , , , 
AXE CN Equity,ACCELEWARE LTD,0.0862,0.3875,0.7936,0.8508,1.0079,1.1919,1.5236,1.4779,2.6176
ACN US Equity,ACCENTURE PLC-CL A,1.0992,1.2983,1.2333,1.2519,1.4017,1.3967,1.3382,1.2314,1.3488
ACCS US Equity,ACCESS NEWSWIRE INC,0.7824,0.9094,0.302,4.8075,4.8849,4.6891,7.3054,2.8225,3.2442
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,1.9668,1.7955,2.6161,2.2649,2.8976,1.0549,1.2013,0.9691,1.5289
ACCON SS Equity,ACCONEER AB,5.4971,1.8918,7.5829,8.0901,12.2214,8.8953,16.284,1.0562, 
ACIW US Equity,ACI WORLDWIDE INC,1.6442,1.3561,1.298,1.243,1.2753,1.504,1.9098,1.3109,1.084
ACMR US Equity,ACM RESEARCH INC-CLASS A,2.3133,2.3491,2.4325,4.6273,2.5329,3.7082,2.0812,2.8837,2.3638
ACFN US Equity,ACORN ENERGY INC,1.2603,0.8761,0.8773,0.9861,0.9756,0.9544,0.8281,1.1573,1.6809
EOS FP Equity,ACTEOS,0.8053,0.8646,0.9276,1.0739,1.1937,0.8652,0.9452,1.3545,1.2068
AOM LN Equity,ACTIVEOPS PLC,1.1713,1.1411,1.2653,1.3263,1.0413,0.7116,0.8507, , 
MLACT FP Equity,ACTIVIUM GROUP, ,0.4223,0.5872,0.5856,2.1983,0.5937, , ,1.3062
ACRM LN Equity,ACUITY RM GROUP PLC, ,0.7796,7.3191,11.2308,8.4167,1.2949,0.7368,1.6677,1.1236
ACVA US Equity,ACV AUCTIONS INC-A,1.5563,2.1168,2.1675,2.0252,2.126,2.7456, , , 
ANODB SS Equity,ADDNODE GROUP AB,0.9157,0.9861,0.897,0.8854,0.6992,0.6708,0.7346,0.6225,0.7962
ADEA US Equity,ADEIA INC,3.5343,2.0173,1.5519,2.7377,2.4316,5.8442,7.3412,2.5358,3.9191
ADN1 GR Equity,ADESSO SE,1.107,1.3591,1.31,1.5824,1.2785,1.4168,1.39,1.4438,1.4611
ALARF FP Equity,ADEUNIS RF SACA, ,2.0689,2.1631,2.4689, ,2.1015,2.6591,1.4233,0.6708
ADMCM FH Equity,ADMICOM OYJ,1.0757,2.3496,2.8618,3.2461,4.2035,4.9422,5.0194,3.7287,2.3595
ADBE US Equity,ADOBE INC,1.0676,1.3434,1.1068,1.2506,1.4779,0.7929,1.1292,2.0547,2.077
ADTN US Equity,ADTRAN HOLDINGS INC,2.0794,2.6362,2.0588,2.4223,3.3699,2.8419,3.0118,3.8675,2.789
ADV GR Equity,ADTRAN NETWORKING SE,2.2106,2.4591,1.5574,1.7166,1.8951,1.6918,1.7669,1.2592,1.8962
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, , , , , , , , , 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, , ,16.8649,14.2879, ,6.7265,6.7441,32.3077, 
AMD US Equity,ADVANCED MICRO DEVICES,2.6163,2.5068,2.3581,2.0243,2.5416,1.9487,1.7843,1.7409,1.8796
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , , 
ADGO US Equity,ADVANTEGO CORP, , , , , ,0.0025,0.0792,0.0585,0.2353
ADVE SS Equity,ADVENICA AB,1.6553,2.0208,2.0441,1.1697,1.0119,0.8879,0.995,2.3341,2.1632
AEHR US Equity,AEHR TEST SYSTEMS,9.3118,5.4593,5.4482,2.1172,4.5669,3.6346,2.6423,3.7263,1.8692
ALMU US Equity,AELUMA INC,2.2226,7.0452, , ,0.259,0.4527, , , 
AERT US Equity,AERIES TECHNOLOGY INC, , ,0.09,1.2289, , , , , 
AERS US Equity,AERIUS INC, , , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS,2.2318,3.5418,4.7915,8.0094, , , , , 
ATHR US Equity,AETHER HOLDINGS INC,1.1869,0.1405, , , , , , , 
AFRN LN Equity,AFERIAN PLC,0.4267,0.7689,0.9662,1.3125,1.0188,0.9229,1.7967,1.6384,1.0785
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , , 
AFTM US Equity,AFTERMASTER INC, , , , , ,0.0725,0.1139,0.1089,0.2331
AGET CN Equity,AGEDB TECHNOLOGY LTD, ,9.0106,24.1523, , , , , , 
AGIL SM Equity,AGILE CONTENT SA,1.2375,1.0236,1.0001,0.8559,1.1405,1.4,0.694,0.7026,0.7565
AGILQ US Equity,AGILETHOUGHT INC, , ,0.645,0.8315,0.5074,7.399, , , 
AGILC DC Equity,AGILLIC A/S,0.1981,0.2973,0.4299,0.7466,0.7986,0.3289,0.8441,1.7065,3.5895
AGYS US Equity,AGILYSYS INC,2.1141,1.9698,1.9054,2.1844,1.3455,1.3552,1.4339,1.5866,1.7653
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,2.8021,3.6455,6.8223,11.7402,1.8185,1.214,4.4355, , 
AINO SS Equity,AINO HEALTH AB,0.4412,0.3798,0.3298,0.2899,1.0221,0.6125,2.3829,1.5401, 
AIRG US Equity,AIRGAIN INC,1.9133,1.9098,2.105,1.7845,6.6267,6.6715,5.7364,4.7361,5.4994
IQ CN Equity,AIRIQ INC,3.507,2.5979,2.2819,2.594,1.9601,1.7905,1.3225,1.1941,0.9519
AISP US Equity,AIRSHIP AI HOLDINGS INC,2.2387,0.4797,2.7376,10.9261, , , , , 
AISX CN Equity,AISIX SOLUTIONS INC,0.3136,4.2118,3.6788,13.0764,4.1209,10.9491,60.58,18.4641, 
AIXIAB SS Equity,AIXIA GROUP AB,1.2694,0.8595,1.1254,1.1055,1.3739,1.2366,1.1951,1.5595,1.0782
AIXA GR Equity,AIXTRON SE,4.1215,3.1218,3.0223,4.046,4.3246,4.3674,3.62,3.7253,4.4888
AKAM US Equity,AKAMAI TECHNOLOGIES INC,1.2328,2.1588,2.4052,2.4299,2.545,3.2187,2.0941,2.9478,3.497
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,0.4358,3.4059,7.2469,12.8281,7.5372,9.8946,6.0003,7.4184,7.7136
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , , , 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,1.52,1.4844,1.5234,1.65,2.8034,4.144,3.9518,2.549,2.0932
