Ticker,Name,EBIT:2023,EBIT:2022,EBIT:2021,EBIT:2020,EBIT:2024,EBIT:2019,EBIT:2018,EBIT:2017,EBIT:2016
 ,Investable Universe (2071),264770000,316090000,302760000,220320000,364840000,211890000,235900000,186590000,207350000
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-732259,-722348,-569902,-519487,-321591,-663100,-308334,78089,-891300
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , , , 
SPA LN Equity,1SPATIAL PLC,1254000,415000,-1246000,-1538000,1412000,-1628000,-1805000,-15650000,-673000
AL2SI FP Equity,2CRSI SA,-9518000,1390000,569000, , , ,3681000,1687000,331000
DDD US Equity,3D SYSTEMS CORP,-406004000,-117019000,-33069000,-118963000,-277400000,-57104000,-43191000,-53973000,-38420000
4GBL LN Equity,4GLOBAL PLC,519192,-1864789,371536,-13632,344499,-378177, , , 
74SW FP Equity,74SOFTWARE SA,47571000,-46402000,17278000,17642000,61373000,14290000,18254000,27735000,35080000
EGHT US Equity,8X8 INC,-66292000,-154140992,-146148992,-159819008,-27603000,-90988000,-41896000,-6669000,-7074000
ATEN US Equity,A10 NETWORKS INC,38648000,53079000,33388000,17733000,43968000,-17094000,-27679000,-10372000,-20570000
AAT IM Equity,AA TECH SPA,-292528,-181000, , ,380000, , , , 
SPERR SS Equity,AB SPERRUNG,-8524000,-9556000,-3472000,-3379000,-11473000,-905000,2771000,98000,-3076000
ABXX CN Equity,ABAXX TECHNOLOGIES IN,-31093830,-19933636,-14187912,-9858562,-48930380,-7281781,6961067,-39941640,-5782521
ABBY US Equity,ABBY INC, , , , , , , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , ,-91161, ,-69263,56601,187148,160629
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,-258618000,-352643008,-221646000,-148538000,-57511000,-120858000,-81475000, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , ,-1898212
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , , , , , , 
AXE CN Equity,ACCELEWARE LTD,-1969529,-5213806,-4045978,-2118889,2575346,-1508089,-164186,-2624421,-1961563
ACN US Equity,ACCENTURE PLC-CL A,8809888768,9367181312,7621529088,6513644032,9595846656,6305074176,5898779136,4632608768,4810444800
ACCS US Equity,ACCESS NEWSWIRE INC,-2739000,2669000,3743000,2694000,-16319000,474000,1163000,2028000,1935313
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,9939000,12751000,13521000,-30354000,13161000,-56278000,5312000,9241000,10512000
ACCON SS Equity,ACCONEER AB,-46807000,-47248000,-51101192,-62308560,-28677000,-68562000,-39044328,-23072860, 
ACIW US Equity,ACI WORLDWIDE INC,220408000,203835008,209896992,144744000,308135008,123756000,125911000,84640000,221130000
ACMR US Equity,ACM RESEARCH INC-CLASS A,95839000,59035000,38702000,21492000,150998000,17791000,6471000,700000,3490000
ACFN US Equity,ACORN ENERGY INC,74000,-629000,-8000,-310000,1937000,-699000,-1376000,-1911000,-3053000
EOS FP Equity,ACTEOS,-50562,-96140,-898454,206042,-1875902,-499275,-1830535,111089,-1888298
AOM LN Equity,ACTIVEOPS PLC,-217000,-2550000,-1214000,-2657022,855000,-959413,107667, , 
MLACT FP Equity,ACTIVIUM GROUP,-220382,-321609,-225168,-268785, ,164239, , ,248872
ACRM LN Equity,ACUITY RM GROUP PLC,-913000,-256000,-239000,-149000, ,43000,-93000,-131000,8000
ACVA US Equity,ACV AUCTIONS INC-A,-89677000,-106209000,-76805000,-40647000,-84105000,-79282000, , , 
ANODB SS Equity,ADDNODE GROUP AB,404000000,522000000,305000000,233000000,596000000,218000000,203000000,129855000,113693000
ADEA US Equity,ADEIA INC,136230000,153060000,119028000,177627008,128609000,-68708000,23980000,-31500000,89388000
ADN1 GR Equity,ADESSO SE,22307000,48149000,66420000,34227000,29150000,25535000,22973000,17185000,16708000
ALARF FP Equity,ADEUNIS RF SACA,-909000,-662000,-604000, , ,-3497000,-2969000,-1005000,-415000
ADMCM FH Equity,ADMICOM OYJ,8823363,10811071,10374057,8618268,8234982,6613333,4291286,2541103.75,1491348.5
ADBE US Equity,ADOBE INC,6649999872,6097999872,5801999872,4236999936,6741000192,3268000000,2840368896,2168094976,1493602048
ADTN US Equity,ADTRAN HOLDINGS INC,-221271008,-72827000,-14700000,-9773000,-417100992,-39963000,-45422000,37386000,34735000
ADV GR Equity,ADTRAN NETWORKING SE,13302000,18112000,45295000,27473000,-42612000,12003000,14989000,4403000,19367000
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE,-2030319.875,-3696557,-1137705.625, , , , , , 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, ,1745671.5,6500016.5, , ,-333123.0938,-912938.6875,-58463.9492,-1951.78
AMD US Equity,ADVANCED MICRO DEVICES,401000000,1264000000,3648000000,1368999936,1900000000,631000000,451000000,127000000,-373000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , , 
ADGO US Equity,ADVANTEGO CORP, , , , , ,-1047475,-969033,-555918,-130437
ADVE SS Equity,ADVENICA AB,-4898000,-1633000,-15540000,-18562000,6282000,-24701000,-48423000,-33445000,-23176000
AEHR US Equity,AEHR TEST SYSTEMS,13375000,7800000,-4182000,-2765000,10078000,-5000000,915000,-4929000,-6154000
ALMU US Equity,AELUMA INC,-5509685, , ,-11670,-4563308,0, , , 
AERT US Equity,AERIES TECHNOLOGY INC, ,-4463907, , , , , , , 
AERS US Equity,AERIUS INC, , , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS,619271,707146,351277, ,-1767835, , , , 
ATHR US Equity,AETHER HOLDINGS INC,-295747, , , ,-939436, , , , 
AFRN LN Equity,AFERIAN PLC,-63934000,-16597000,5660000,5114000,-12502000,4334000,7682000,13082000,2732000
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , , 
AFTM US Equity,AFTERMASTER INC, , , , , ,-3927534,-4376138,-6101006,-7491199
AGET CN Equity,AGEDB TECHNOLOGY LTD,-129372,-13448, , , , , , , 
AGIL SM Equity,AGILE CONTENT SA,3118217.25,-3692522.75,-3629819.25,-1201299.75,-1709767.375,134389.25,-865036,-747441.6875,-4846234
AGILQ US Equity,AGILETHOUGHT INC, ,-12927000,-2047000,-673625, ,-103585, , , 
AGILC DC Equity,AGILLIC A/S,-11357000,-11118000,-11142000,-8509000,-12206000,-22026000,-23305000,2420252,1571100
AGYS US Equity,AGILYSYS INC,12875000,6319000,-20958000,-34061000,15753000,-13081000,-12080000,-11408000,-4313000
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,-12892000,-10203000,-4690000,-2632000,-12197000,-3022000,-2080000, , 
AINO SS Equity,AINO HEALTH AB,-10666000,-14557000,-14178000,-13978000,-105800416,-14407000,-20654000,-30950000, 
AIRG US Equity,AIRGAIN INC,-12400000,-8580000,-12124000,-3184000,-8928000,380000,-3386006,969200,3452167
IQ CN Equity,AIRIQ INC,723000,599000,623000,562000,814000,213000,178000,355000,443000
AISP US Equity,AIRSHIP AI HOLDINGS INC,-6640365,-1397009, , ,-3505113, , , , 
AISX CN Equity,AISIX SOLUTIONS INC,-1667566,-2118389,-2128857,-2988854,-1531691,-2979380,-1463592, , 
AIXIAB SS Equity,AIXIA GROUP AB,-4047000,1972000,1537000,2877000,18394000,3622000,1014000,-5000,413000
AIXA GR Equity,AIXTRON SE,155622000,101902000,97818000,35625000,129721000,37733000,41346000,4128000,-21389000
AKAM US Equity,AKAMAI TECHNOLOGIES INC,637337984,676273984,783148032,658534016,533411008,548918016,362499008,314288992,459593984
AKTSQ US Equity,AKOUSTIS TECHNOLOGIES INC,-66069000,-60555000,-41394000,-32038000,-109991000,-27567000,-22277728,-10683571,-3869994
ALMY US Equity,ALCHEMY CREATIVE INC, , , , , , , , , 
ALFA LN Equity,ALFA FINANCIAL SOFTWARE HOLD,30100000,29600000,24700000,23432000,34300000,13978000,22382000,33829000,16589000
ALFIQ US Equity,ALFI INC, , ,-18186236,-3505907, ,-1688033, , , 
ALFO IM Equity,ALFONSINO SPA,-1788849,-2525709,-554714,222353,-512196,25165, , , 
RIME US Equity,ALGORHYTHM HOLDINGS INC,-3698284,69235,1425351,-3244772,-13925000,1048954,1002354,2986578,1937152
ALHC US Equity,ALIGNMENT HEALTHCARE INC,-127817000,-128639000,-178072000,-5263000,-101555000,-29484000, , , 
ALYA CN Equity,ALITHYA GROUP INC-CLASS A,-27019000,-13996000,-17006000,-40966000,-4742000,-13085000,-5441000, , 
ALKT US Equity,ALKAMI TECHNOLOGY INC,-63705000,-57689000,-42916000,-35103000,-44626000,-42535000, , , 
A1OS GR Equity,ALL FOR ONE GROUP SE,14971000,17239000,20625000,19287000,28618000,12632000,20577000,20062000,18848000
ATMH US Equity,ALL THINGS MOBILE ANALYTIC,526100,-85837, , , , , , , 
ADGL US Equity,ALLDIGITAL HOLDINGS INC, , , , , , , , , 
ALGM US Equity,ALLEGRO MICROSYSTEMS INC,203307008,136650000,12158000,52828000,196244000,99999000, , , 
AEIN GR Equity,ALLGEIER SE,32220000,33625000,19790000,38828000,30187000,35713000,22246000,12185000,18567000
ADSV US Equity,ALLIED SECURITY INNOVATIONS, , , , , , , , , 
AIW IM Equity,ALMAWAVE SPA,8822000,6404000,4655000,3683000,2094000,4132000,3706000, , 
AOSL US Equity,ALPHA & OMEGA SEMICONDUCTOR,22529000,102038000,64076000,-13937000,-3756000,-7020000,8420000,13144000,1510000
AMOD US Equity,ALPHA MODUS HOLDINGS INC,-391949,-1511828, , ,-834895, , , , 
AWE LN Equity,ALPHAWAVE IP GROUP PLC,-19352000,37627000,32012000,23911000,-32824000, , , , 
NPA/H CN Equity,ALPHINAT INC,141895,145693,138232,217931,90736,88910,-183878,336341,235738
ALC SM Equity,ALTIA CONSULTORES SA,20937480,13201620,10603448,9245703,21694564,8402265,9030960,8027875,8293346.5
