Ticker,Name,EBIT/Tot Int Exp:2024,EBIT/Tot Int Exp:2023,EBIT/Tot Int Exp:2022,EBIT/Tot Int Exp:2021,EBIT/Tot Int Exp:2020C,EBIT/Tot Int Exp:2019,EBIT/Tot Int Exp:2018,EBIT/Tot Int Exp:2017,EBIT/Tot Int Exp:2016
 ,Investable Universe (2081),-21190,-276.84,-888.81,597.34,-78.48,-150.03,1000,-155.09,17220
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-150.4167,-232.0948,-135.9074,-146.1662,-8.8185,-11.0517,-6.1305,1.9522,-22.2825
ISOL US Equity,1MAGE SOFTWARE INC, , , , ,-11.5176, , , , 
SPA LN Equity,1SPATIAL PLC,3.4693,5.476,1.9856,-5.5133,-6.5447,-8.1809,-10.6805,-130.4167,-11.0328
AL2SI FP Equity,2CRSI SA, ,-3.8675,0.3776,0.2284, , ,2.9122,3.2568,3.0935
DDD US Equity,3D SYSTEMS CORP,-108.1903,-122.9942,-41.629,-14.1321,-29.8078,-17.6629,-16.3046,-58.7301,-29.9688
4GBL LN Equity,4GLOBAL PLC,1.9739,21.5943,-79.9309,13.5979,-1.8094,-63.7305, , , 
74SW FP Equity,74SOFTWARE SA,4.5866,9.923,-22.0123,12.6025,11.9688,7.9521,19.4813,21.5837,69.0551
EGHT US Equity,8X8 INC, , , , , , , , , 
ATEN US Equity,A10 NETWORKS INC, , ,31.841, ,17733,-72.1266,-214.5659,-64.0247,-48.5142
AAT IM Equity,AA TECH SPA,1.3761,-1.1854,-1.6759, , , , , , 
SPERR SS Equity,AB SPERRUNG,-20.3422,-12.108,-46.8431,-31.2793,-96.5429,-33.5185,692.75,2.2791,-51.2667
ABXX CN Equity,ABAXX TECHNOLOGIES IN, , , , , , , , , 
ABBY US Equity,ABBY INC, , , , ,-121.4182, , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , , , , , , , 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,-10.4433,-59.7132,-108.1395,-44.1087,-59.4628,-92.8962,-67.6141, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , , 
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , ,-0.5287, , , , 
AXE CN Equity,ACCELEWARE LTD,3.9915,-3.286, ,-426.5659,-306.2421,-124.6973,-15.911, , 
ACN US Equity,ACCENTURE PLC-CL A,162.727,185.3738,197.9539,128.1102,196.9594,274.5753,301.8977,298.0128,295.8817
ACCS US Equity,ACCESS NEWSWIRE INC, , , , , , , , , 
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,5.6753,5.2811,22.5283,13.8535,-33.3927,-62.8804,4.7134,4.4026,25.3913
ACCON SS Equity,ACCONEER AB,-5.6978,-49.7947,-762.0645,-1388.0912,-24893.5508,-68562,-2519.9644,-146.606, 
ACIW US Equity,ACI WORLDWIDE INC,4.2518,2.8082,3.832,4.6582,2.556,1.9327,3.0318,2.1695,5.5029
ACMR US Equity,ACM RESEARCH INC-CLASS A,36.3763,35.7475,35.6707,50.5909,21.8859,23.8805,12.994,2.5271,19.2818
ACFN US Equity,ACORN ENERGY INC, , ,-314.5,-1.6,-8.8571,-33.2857,-12.177,-8.2371,-5.0546
EOS FP Equity,ACTEOS,-7.9575,-0.347,-0.9471,-7.7646,2.802,-6.3567,-26.1069,0.906,-26.0858
AOM LN Equity,ACTIVEOPS PLC,25.1471,-3.5, ,-5.2783,-6.6875,-9.4158,1.0525, , 
MLACT FP Equity,ACTIVIUM GROUP, ,-3.6138,-6.5361,-7.5221,-6.916,4.4454, , ,6.3185
ACRM LN Equity,ACUITY RM GROUP PLC,-15.8235, , , , , , ,-2.4259,0.0365
ACVA US Equity,ACV AUCTIONS INC-A,-19.8174,-57.3016,-108.4872,-98.2161,-64.2133, , , , 
ANODB SS Equity,ADDNODE GROUP AB,3.7722,4.5393,14.1081,19.0625,14.5625,12.8235,13.5333,18.703,34.9502
ADEA US Equity,ADEIA INC,2.4479,2.1771,3.3762,3.0541,4.6901,-2.9391,0.9343,-1.1134,37.1059
