Ticker,Name,R&D Exp:2024,R&D Exp:2023,R&D Exp:2022,R&D Exp:2021,R&D Exp:2020,R&D Exp:2019,R&D Exp:2018,R&D Exp:2017,R&D Exp:2016
 ,Investable Universe (2071),354950000,297750000,257190000,209930000,185860000,179860000,198960000,203650000,190030000
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,123729,391347,815836,614219,455177,384007,204900,172716,310163
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , , , 
SPA LN Equity,1SPATIAL PLC,0, , , , , ,1403000,463000,777000
AL2SI FP Equity,2CRSI SA, ,0,0,0, , , , , 
DDD US Equity,3D SYSTEMS CORP,86479000,89466000,87071000,69150000,74143000,80790000,95298000,94627000,88395000
4GBL LN Equity,4GLOBAL PLC,0,793658,640342,592440,903154,735589, , , 
74SW FP Equity,74SOFTWARE SA,174900000,60100000,57300000,55300000,60400000,61300000,58000000,59400000,53300000
EGHT US Equity,8X8 INC,136216000,146220000,112387000,92034000,77790000,62063000,34797000,27452000,24040000
ATEN US Equity,A10 NETWORKS INC,57726000,55229000,58398000,54077000,58063000,61824000,65157000,62991000,60700000
AAT IM Equity,AA TECH SPA, , , , , , , , , 
SPERR SS Equity,AB SPERRUNG,0,0,0,0,0,0,0,0,0
ABXX CN Equity,ABAXX TECHNOLOGIES IN,11253706,11337165,8345017,4849725,2676727,0,0,0,0
ABBY US Equity,ABBY INC, , , , , , , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , , ,0,0,0,0,0
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,188064992,179770000,203844000,121161000,79743000,44160000,18151000, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , ,0
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , , , , , , 
AXE CN Equity,ACCELEWARE LTD,1025582,254740,3445155,2982295,958867,687519,2019879,1775892,1247673
ACN US Equity,ACCENTURE PLC-CL A,1150429952,1298657024,1123296000,1118320000,870611008,799734016,790779008,704316992,643406976
ACCS US Equity,ACCESS NEWSWIRE INC,2821000,2544000,1306000,1219000,825000,1219000,1276000,763000,403623
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,5266000,48500000,43200000,34700000,21200,33500000,29400000,20025000,17869000
ACCON SS Equity,ACCONEER AB,20630000,36225000,45077000,47103128,40262996,42946000, , , 
ACIW US Equity,ACI WORLDWIDE INC,146676992,140758000,146311008,144310000,139292992,146572992,143630000,136920992,169900000
ACMR US Equity,ACM RESEARCH INC-CLASS A,105473000,92709000,62226000,34207000,19119000,12900000,10380000,5138000,3259000
ACFN US Equity,ACORN ENERGY INC,1012000,875000,845000,739000,619000,559000,542000,518000,927000
EOS FP Equity,ACTEOS,958000,1532000,1060000,1038000,1142000,905000,1307000,1192000,506000
AOM LN Equity,ACTIVEOPS PLC, , , ,0,0,0,0, , 
MLACT FP Equity,ACTIVIUM GROUP, , , , , , , , , 
ACRM LN Equity,ACUITY RM GROUP PLC, ,0,0,0,0,0,0,0,0
ACVA US Equity,ACV AUCTIONS INC-A, ,0,0,0,0,0, , , 
ANODB SS Equity,ADDNODE GROUP AB,58000000,51000000,34000000,26000000,30000000,26000000,31000000,29460000, 
ADEA US Equity,ADEIA INC,59598000,54264000,44579000,39608000,195154000,112345000,106406000,105849000,44738000
ADN1 GR Equity,ADESSO SE, , ,0,0,0,0,0,0,0
ALARF FP Equity,ADEUNIS RF SACA, ,0,0, , ,1873000,2270000,1877000,1603000
ADMCM FH Equity,ADMICOM OYJ,587000,349927,90270,0,0, , , , 
ADBE US Equity,ADOBE INC,3944000000,3472999936,2987000064,2540000000,2188000000,1930000000,1537811968,1224059008,975987008
ADTN US Equity,ADTRAN HOLDINGS INC,221463008,258311008,173756992,108663000,113287000,126200000,124547000,130666000,124804000
ADV GR Equity,ADTRAN NETWORKING SE,108033000,105642000,99344000,76723000,74997000,75186000,76588000,69037000,60468000
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, , , , , , , , , 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, , ,0,0, , , , , 
AMD US Equity,ADVANCED MICRO DEVICES,6456000000,5872000000,5005000192,2844999936,1983000064,1547000064,1434000000,1196000000,1008000000
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , , 
ADGO US Equity,ADVANTEGO CORP, , , , , , , , , 
ADVE SS Equity,ADVENICA AB,28954000,36446000,25631000,52940000,52169000,32084000,29996000,20350000,18756000
AEHR US Equity,AEHR TEST SYSTEMS,8719000,7134000,5818000,3652000,3386000,4153000,4181000,4657000,4324000
ALMU US Equity,AELUMA INC,2506507,2531624, , , , , , , 
AERT US Equity,AERIES TECHNOLOGY INC, , , , , , , , , 
AERS US Equity,AERIUS INC, , , , , , , , , 
AMEN SM Equity,AETERNAL MENTIS, , , , , , , , , 
ATHR US Equity,AETHER HOLDINGS INC,150000,100000, , , , , , , 
AFRN LN Equity,AFERIAN PLC, ,5421000,6021000,5000000,10584000,8723000,6532000,7142000,5896000
AFFN US Equity,AFFINITY NETWORKS INC, , , , , , , , , 
AFTM US Equity,AFTERMASTER INC, , , , , ,5623,15771,221437,386949
AGET CN Equity,AGEDB TECHNOLOGY LTD, , , , , , , , , 
AGIL SM Equity,AGILE CONTENT SA,0,0,0,0,0,0, , , 
AGILQ US Equity,AGILETHOUGHT INC, , , , , , , , , 
AGILC DC Equity,AGILLIC A/S, , , , ,0, ,14166000,9921100,5846000
AGYS US Equity,AGILYSYS INC,56739000,50260000,46332000,55345000,41463000,37817000,27936000,29048000,26688000
AIFORIA FH Equity,AIFORIA TECHNOLOGIES OYJ,3755000,5556000, , , , , , , 
AINO SS Equity,AINO HEALTH AB, , ,0,0,0, , , , 
AIRG US Equity,AIRGAIN INC,11864000,10505000,11345000,10920000,9157000,8989000,9319116,7319575,5622132
IQ CN Equity,AIRIQ INC,103000,114000,118000,109000,140000,129000,111000,97000,102000
AISP US Equity,AIRSHIP AI HOLDINGS INC,2804894,2729492, , , , , , , 
AISX CN Equity,AISIX SOLUTIONS INC,266667,139833,0,18750,0,12000,24000, , 
AIXIAB SS Equity,AIXIA GROUP AB, , , , , , , , ,0
AIXA GR Equity,AIXTRON SE,91365000,87681000,57726000,56809000,58379000,54955000,47476000,65622000,51811000
AKAM US Equity,AKAMAI TECHNOLOGIES INC,470876000,406048000,391433984,335372000,269315008,261364992,246164992,222434000,167628000
