Ticker,Name,Tot Assets:2024,Tot Assets:2023,Tot Assets:2022,Tot Assets:2021,Tot Assets:2020,Tot Assets:2019,Tot Assets:2018,Tot Assets:2017,Tot Assets:2016
 ,Investable Universe (2071),3780000000,3110000000,2960000000,2760000000,2460000000,2390000000,2450000000,2580000000,2410000000
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,240483,483941,1109991,1357758,1285907,707226,898816,275411,212060
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , , , 
SPA LN Equity,1SPATIAL PLC,38554000,38541000,35118000,36605000,34477000,21960000,18954000,23786000,38317000
AL2SI FP Equity,2CRSI SA,73174000,151656000,163396000,161016992,155420992, ,99356000,36046000,8020000
DDD US Equity,3D SYSTEMS CORP,608846016,990659968,1446612992,1549099008,733054976,807312000,825832000,896764032,849153024
4GBL LN Equity,4GLOBAL PLC,6103595,6328869,5226790,2956971,1453476,970757, , , 
74SW FP Equity,74SOFTWARE SA,1240855040,594593024,571068032,582913024,559345984,568838016,553808000,551100032,557841984
EGHT US Equity,8X8 INC,755979008,841809984,910268032,678409024,700641024,546358016,277208992,333855008,313452000
ATEN US Equity,A10 NETWORKS INC,432815008,389808992,369104992,393084992,290811008,274052992,235876000,224858000,216732992
AAT IM Equity,AA TECH SPA,12796000,10314478,8140000, , , , , , 
SPERR SS Equity,AB SPERRUNG,12701000,13780000,16158000,14104000,16239000,18623000,20865000,18431000,16173000
ABXX CN Equity,ABAXX TECHNOLOGIES IN,51552924,48703128,14003399,29293566,17008398,18131444,26823428,30740104,70123472
ABBY US Equity,ABBY INC, , , , , , , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , , ,2379334,7208826,7747092,7506134,6917326
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,2010073984,1724264960,1862734976,1864980992,687638016,357419008,419368000, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , ,9639
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , , , , , , 
AXE CN Equity,ACCELEWARE LTD,340451,1509927,2528832,5352188,3855050,6514914,6167689,1455449,2704277
ACN US Equity,ACCENTURE PLC-CL A,55932362752,51245305856,47263391744,43175841792,37078593536,29789880320,24449083392,22689890304,20609003520
ACCS US Equity,ACCESS NEWSWIRE INC,50638000,65152000,66325000,39257000,34889000,32390000,28952000,16950000,12860804
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,263379008,273968000,228100992,229864000,224430000,211099008,260112992,259570000,108384000
ACCON SS Equity,ACCONEER AB,251184000,199220000,190675008,223223328,128442024,130201800,194497760,243067056, 
ACIW US Equity,ACI WORLDWIDE INC,3025293056,3444739072,3209894912,3158740992,3386903040,3257533952,2122455040,1861639040,1902295040
ACMR US Equity,ACM RESEARCH INC-CLASS A,1855720960,1490908032,1235500032,1052179008,341256992,217703008,103047000,67891000,44467000
ACFN US Equity,ACORN ENERGY INC,10596000,5449000,5984000,6042000,5201000,4984000,3919000,9222000,9240000
EOS FP Equity,ACTEOS,10027542,14989815,15710499,15926387,19738436,14128279,13966862,14137098,15121384
AOM LN Equity,ACTIVEOPS PLC,30035000,28283000,24001000,29435000,24658188,12087747,13689366, , 
MLACT FP Equity,ACTIVIUM GROUP, ,8092522,8494690,8126047,11822100,8213662, , ,10931139
ACRM LN Equity,ACUITY RM GROUP PLC, ,6994000,1274000,1599000,1578000,1282000,2748000,3227000,4589000
ACVA US Equity,ACV AUCTIONS INC-A,984148992,922924032,914921984,982960000,404550016,304518016, , , 
ANODB SS Equity,ADDNODE GROUP AB,8577999872,7197000192,6199000064,4321999872,3817999872,3168999936,3075000064,2625373952,1985462016
ADEA US Equity,ADEIA INC,1097960960,1105555968,1210525952,2470021888,2701176064,1047945024,1235106944,1110023936,1186435968
ADN1 GR Equity,ADESSO SE,802856000,785985024,655564992,555705024,372145984,320764000,226375008,202812000,183491008
ALARF FP Equity,ADEUNIS RF SACA, ,6829000,7427000,7111000, ,9319000,11566000,6816000,6305000
ADMCM FH Equity,ADMICOM OYJ,43497204,38677712,49611132,37933956,26335042,20147368,13776099,5742480,4948039.5
ADBE US Equity,ADOBE INC,30229999616,29778999296,27164999680,27241000960,24284000256,20761999360,18768683008,14535556096,12697245696
ADTN US Equity,ADTRAN HOLDINGS INC,1179372032,1682512000,1943494016,569017024,525679008,545118016,628027008,669094016,667235008
ADV GR Equity,ADTRAN NETWORKING SE,670003008,657820992,647912000,601523968,499972000,536361984,486537984,464019008,467892000
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, ,9748968,11783120,15818970, ,60736516, , , 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, , ,22541774,21059706, ,2196304.5,1268331.75,1029724.25,188850.5781
AMD US Equity,ADVANCED MICRO DEVICES,69225996288,67884998656,67579998208,12419000320,8961999872,6028000256,4556000256,3552000000,3320999936
APWL US Equity,ADVANCED POWERLINE TECHNOLOG, , , , , , , , , 
