Ticker,Name,Debt/Assets:2024,Debt/Assets:2023,Debt/Assets:2022,Debt/Assets:2021,Debt/Assets:2020,Debt/Assets:2019,Debt/Assets:2018,Debt/Assets:2017,Debt/Assets:2016
 ,Investable Universe (2071),472.76,3470,4550,123.86,175.23,125.87,287.86,1270,497.38
,,,,,,,,,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,8.7619,4.1075,6.024,8.0609,1.4545,0,0,0,176.5896
ISOL US Equity,1MAGE SOFTWARE INC, , , , , , , , , 
SPA LN Equity,1SPATIAL PLC,11.8924,9.5145,11.7205,15.517,13.1044,0,5.545,3.1321,0
AL2SI FP Equity,2CRSI SA,14.2236,44.2323,43.8218,45.838,44.7475, ,28.5408,59.7015,53.404
DDD US Equity,3D SYSTEMS CORP,45.0091,38.9715,34.586,32.4462,10.8139,11.4816,3.8805,0.8611,0.9608
4GBL LN Equity,4GLOBAL PLC,4.9543,11.4535,12.1384,20.3237,4.5944,6.5908, , , 
74SW FP Equity,74SOFTWARE SA,27.8917,19.5088,20.4965,16.3283,13.9447,12.7217,8.3083,9.4792,7.0154
EGHT US Equity,8X8 INC,63.1806,67.5774,59.0436,59.5265,55.6439,39.6387,0.544,0.5167,0.4479
ATEN US Equity,A10 NETWORKS INC,2.7582,4.3149,5.8623,5.9272,9.8889,12.098,0,0,0
AAT IM Equity,AA TECH SPA,36.1676,40.0785,44.9263, , , , , , 
SPERR SS Equity,AB SPERRUNG,19.1953,5.1742,3.2863,7.8417,6.9093,0,0,0.6782,3.8645
ABXX CN Equity,ABAXX TECHNOLOGIES IN,0,0,0,0,0,0,0,0,0
ABBY US Equity,ABBY INC, , , , , , , , , 
ABLD FP Equity,ABL DIAGNOSTICS, , , , ,0.0592,0.0026,0.0023,0,0
ABZT US Equity,ABLAZE TECHNOLOGIES INC, , , , , , , , , 
AECX US Equity,ACADIA ENERGY CORP, , , , , , , , , 
ACAST SS Equity,ACAST AB,7.0222,1.2729,1.5419,2.5325,21.3956,4.4228,5.2896, , 
ACNV US Equity,ACCELERA INNOVATIONS INC, , , , , , , , ,10804.4717
ATHC US Equity,ACCELERATED TECHNOLOGIES HOL, , , , , , , , , 
AXE CN Equity,ACCELEWARE LTD,841.942,162.5753,53.3209,6.4351,4.5118,2.3843,3.0646,12.5991,25.9334
ACN US Equity,ACCENTURE PLC-CL A,7.367,6.145,7.0366,8.1217,9.4003,0.0761,0.1023,0.1105,0.1321
ACCS US Equity,ACCESS NEWSWIRE INC,33.546,32.6943,35.7452,5.1379,6.7672,9.2436,2.0586,5.0619,0
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,5.8756,8.1462,0.5349,1.6253,14.1033,10.4851,7.7751,6.2214,8.6369
ACCON SS Equity,ACCONEER AB,0,13.7787,0,0,0,0,0,1.2342, 
