Ticker,Name,AZS
 ,Investable Universe (1801),-223.21
,,
ONE CN Equity,01 COMMUNIQUE LABORATORY INC,-77.5016
ISOL US Equity,1MAGE SOFTWARE INC,-45.8482
SPA LN Equity,1SPATIAL PLC,-1.2062
DRWIQ US Equity,3517667 CANADA INC,-9.1884
DDD US Equity,3D SYSTEMS CORP,1.1645
2448602D US Equity,6D GLOBAL TECHNOLOGIES INC,8.31
74SW FP Equity,74SOFTWARE SA,2.3585
EGHT US Equity,8X8 INC,2.3405
ATEN US Equity,A10 NETWORKS INC,2.0077
SPERR SS Equity,AB SPERRUNG, 
ABXX CN Equity,ABAXX TECHNOLOGIES IN,-9.7245
ABBY US Equity,ABBY INC, 
ABZT US Equity,ABLAZE TECHNOLOGIES INC, 
ABST CN Equity,ABSOLUTE SOFTWARE CORPORATIO,-0.1688
ACIA US Equity,ACACIA COMMUNICATIONS INC,10.2368
AECX US Equity,ACADIA ENERGY CORP, 
ACNV US Equity,ACCELERA INNOVATIONS INC, 
AXE CN Equity,ACCELEWARE LTD,-3.2873
ACN US Equity,ACCENTURE PLC-CL A,7.6783
AWWC US Equity,ACCESS WORLDWIDE COMM INC,-6.3362
ACSO LN Equity,ACCESSO TECHNOLOGY GROUP PLC,5.3755
ACCON SS Equity,ACCONEER AB,22.8534
ACIW US Equity,ACI WORLDWIDE INC,3.1269
ACMR US Equity,ACM RESEARCH INC-CLASS A,4.1083
ACFN US Equity,ACORN ENERGY INC, 
EOS FP Equity,ACTEOS,1.1485
MLACT FP Equity,ACTIVIUM GROUP,3.8211
ACT LN Equity,ACTUAL EXPERIENCE PLC,49.1693
ADEA US Equity,ADEIA INC,4.0167
ADN1 GR Equity,ADESSO SE, 
ADMCM FH Equity,ADMICOM OYJ,38.5464
ADBE US Equity,ADOBE INC,13.6577
ADTN US Equity,ADTRAN HOLDINGS INC,5.2205
9990711D US Equity,ADTRAN INC, 
ADV GR Equity,ADTRAN NETWORKING SE,2.302
ABT GR Equity,ADVANCED BITCOIN TECHNOLOGIE, 
ABX GR Equity,ADVANCED BLOCKCHAIN AG, 
AMD US Equity,ADVANCED MICRO DEVICES,6.1049
